"№","Авторы","Название","Год","Название источника","Организации","Авторы организаций","Сведения о финансировании","Текст о финансировании 1","Текст о финансировании 2","ISSN","Тип документа","EID","Квартили","SJR","Тематики"
"1994","Mingachev D.I., Mikheev R.S., Kobernik N.V., Platov D.V.","Special features of using backing tapes for shaping the ‘root’ layer of welded joints","2017","Welding International","N.E. Bauman Moscow State Technical University, Moscow, Russian Federation; Mosgaz GUP, Moscow, Russian Federation","Mingachev, D.I., N.E. Bauman Moscow State Technical University, Moscow, Russian Federation; Mikheev, R.S., N.E. Bauman Moscow State Technical University, Moscow, Russian Federation; Kobernik, N.V., N.E. Bauman Moscow State Technical University, Moscow, Russian Federation; Platov, D.V., Mosgaz GUP, Moscow, Russian Federation","","","","9507116","Article","2-s2.0-85021182463","Q3","0.199","2506; 2210; 2211;"
"1995","Shiganov I.N., Grezev N.V., Shamov E.M.","Special features of welding 10KhSND low-alloy structural steel with an oscillating laser beam","2017","Welding International","N. E. Bauman Moscow State Technical University, Moscow, Russian Federation; IRE-Polyus Company, Moscow, Russian Federation","Shiganov, I.N., N. E. Bauman Moscow State Technical University, Moscow, Russian Federation; Grezev, N.V., IRE-Polyus Company, Moscow, Russian Federation; Shamov, E.M., IRE-Polyus Company, Moscow, Russian Federation","","","","9507116","Article","2-s2.0-85021157075","Q3","0.199","2506; 2210; 2211;"
"1996","Zarubin V.S., Kuvyrkin G.N., Savelyeva I.Y.","Estimates of the Elastic Characteristics of a Composite with Short Anisotropic Fibers","2017","Mechanics of Composite Materials","N.E. Bauman Moscow State Technical University, Moskva, Russian Federation","Zarubin, V.S., N.E. Bauman Moscow State Technical University, Moskva, Russian Federation; Kuvyrkin, G.N., N.E. Bauman Moscow State Technical University, Moskva, Russian Federation; Savelyeva, I.Y., N.E. Bauman Moscow State Technical University, Moskva, Russian Federation","","","","1915665","Article","2-s2.0-85028883169","Q2","0.313","2507; 2211; 3104; 2600; 2502; 2503;"
"1997","Bondarev O.L., Strazdovskii V.V., Chernov Y.V.","Experimental Investigation of the Thermophysical Characteristics of a Coating Based on Hollow Glass Microspheres","2017","Journal of Engineering Physics and Thermophysics","N. É. Bauman Moscow State Technical University, 5 2nd Baumanskaya Str, Moscow, Russian Federation","Bondarev, O.L., N. É. Bauman Moscow State Technical University, 5 2nd Baumanskaya Str, Moscow, Russian Federation; Strazdovskii, V.V., N. É. Bauman Moscow State Technical University, 5 2nd Baumanskaya Str, Moscow, Russian Federation; Chernov, Y.V., N. É. Bauman Moscow State Technical University, 5 2nd Baumanskaya Str, Moscow, Russian Federation","","","","10620125","Article","2-s2.0-85029794011","Q2","0.316","2200; 3104;"
"1998","Krapivtsev V.G.","Model Studies of Coolant Flow Hydrodynamics in VVER-1000 In-Reactor Pressure Channel","2017","Atomic Energy","Bauman Moscow State Technical University, Moscow, Russian Federation","Krapivtsev, V.G., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","10634258","Article","2-s2.0-85029038433","Q3","0.215","2104;"
"1999","Vilkul E.A., Ivanov A.O., Mishchenko A.S., Popelenskii T.Y., Tuzhilin A.A., Shaytan K.V.","Analyzing the Data Bank of Proteins Space Structures (PDB): A Geometrical Approach","2017","Journal of Mathematical Sciences (United States)","Department of Probability Theory, Faculty of Mechanics and Mathematics, Lomonosov Moscow State University, Moscow, Russian Federation; Department of Differential Geometry and Applications, Faculty of Mechanics and Mathematics, Lomonosov Moscow State University, Moscow, Russian Federation; Department of Mathematical Modeling, Bauman Moscow Technical State University, Moscow, Russian Federation; Department of High Geometry and Topology, Faculty of Mechanics and Mathematics, Lomonosov Moscow State University, Moscow, Russian Federation; Department of Differential Geometry and Applications, Faculty of Mechanics and Mathematics, Lomonosov Moscow State University, Moscow, Russian Federation; Department of Differential Geometry and Applications, Faculty of Mechanics and Mathematics, Lomonosov Moscow State University, Moscow, Russian Federation; Department of Bioengineering, Biological Faculty, Lomonosov Moscow State University, Moscow, Russian Federation","Vilkul, E.A., Department of Probability Theory, Faculty of Mechanics and Mathematics, Lomonosov Moscow State University, Moscow, Russian Federation; Ivanov, A.O., Department of Differential Geometry and Applications, Faculty of Mechanics and Mathematics, Lomonosov Moscow State University, Moscow, Russian Federation, Department of Mathematical Modeling, Bauman Moscow Technical State University, Moscow, Russian Federation; Mishchenko, A.S., Department of High Geometry and Topology, Faculty of Mechanics and Mathematics, Lomonosov Moscow State University, Moscow, Russian Federation; Popelenskii, T.Y., Department of Differential Geometry and Applications, Faculty of Mechanics and Mathematics, Lomonosov Moscow State University, Moscow, Russian Federation; Tuzhilin, A.A., Department of Differential Geometry and Applications, Faculty of Mechanics and Mathematics, Lomonosov Moscow State University, Moscow, Russian Federation; Shaytan, K.V., Department of Bioengineering, Biological Faculty, Lomonosov Moscow State University, Moscow, Russian Federation","","","","10723374","Article","2-s2.0-85026434945","Q3","0.304","2604; 2600; 2613;"
"2000","Parshin D.A.","Analytic Solution of the Problem of Additive Formation of an Inhomogeneous Elastic Spherical Body in an Arbitrary Nonstationary Central Force Field","2017","Mechanics of Solids","Ishlinsky Institute for Problems in Mechanics of the Russian Academy of Sciences, pr. Vernadskogo 101, str. 1, Moscow, Russian Federation; Bauman Moscow State Technical University, ul. 2-ya Baumanskaya 5 str. 1, Moscow, Russian Federation","Parshin, D.A., Ishlinsky Institute for Problems in Mechanics of the Russian Academy of Sciences, pr. Vernadskogo 101, str. 1, Moscow, Russian Federation, Bauman Moscow State Technical University, ul. 2-ya Baumanskaya 5 str. 1, Moscow, Russian Federation","17-19-01257, RSF, Russian Science Foundation","ACKNOWLEDGMENTS The work was supported by the Russian Science Foundation (grant No. 17-19-01257).","","256544","Article","2-s2.0-85040575530","Q4","0.143","3100; 2211;"
"2001","Kamrukov A.S., Kireev S.G., Kozlov N.P., Shashkovskii S.G.","Energy and Emission Characteristics of a Short-Arc Xenon Flash Lamp Under ""Saturated"" Optical Brightness Conditions","2017","Journal of Applied Spectroscopy","Bauman Moscow State Technic University (National Sceintific University), Moscow, Russian Federation; Scientific-Production Enterprise “Melitta”, 16/10 Mikluho Maklay Str, Moscow, Russian Federation","Kamrukov, A.S., Bauman Moscow State Technic University (National Sceintific University), Moscow, Russian Federation; Kireev, S.G., Scientific-Production Enterprise “Melitta”, 16/10 Mikluho Maklay Str, Moscow, Russian Federation; Kozlov, N.P., Bauman Moscow State Technic University (National Sceintific University), Moscow, Russian Federation; Shashkovskii, S.G., Scientific-Production Enterprise “Melitta”, 16/10 Mikluho Maklay Str, Moscow, Russian Federation","Minobrnauka, Ministry of Education and Science of the Russian Federation; Research and Development; RFMEFI57414X0067","This work was done with the financial support of the Ministry of Science and Education of the Russian Federation, as part of the Federal Targeted Program on ""Research and development in Priority Areas for Development of the Science and Technology Sector in Russia 2014–2020,"" Activity 1.2 (unique project identifier RFMEFI57414X0067).","","219037","Article","2-s2.0-85029895392","Q4","0.179","1607; 3104;"
"2002","Odinokov S., Zlokazov E., Donchenko S., Verenikin N.","Optical memory system based on incoherent recorder and coherent reader of multiplexed computer generated one-dimensional Fourier transform holograms","2017","Japanese Journal of Applied Physics","Bauman Moscow State Technical University, Moscow, Russian Federation; National Research Nuclear University MEPhI, Moscow, Russian Federation","Odinokov, S., Bauman Moscow State Technical University, Moscow, Russian Federation; Zlokazov, E., Bauman Moscow State Technical University, Moscow, Russian Federation, National Research Nuclear University MEPhI, Moscow, Russian Federation; Donchenko, S., Bauman Moscow State Technical University, Moscow, Russian Federation; Verenikin, N., Bauman Moscow State Technical University, Moscow, Russian Federation","3.2236.2017, Minobrnauka, Ministry of Education and Science of the Russian Federation; 17-07-00254, RFBR, Russian Foundation for Basic Research; RFBR, Russian Foundation for Basic Research","The study was provided as a part of state assignments of the Ministry of Education and Science of Russian Federation No. 3.2236.2017 and supported by Russian Foundation of Basic Research (RFBR) project No. 17-07-00254.","","214922","Conference Paper","2-s2.0-85028712666","Q1","0.497","3100; 2200;"
"2003","Vasil’ev N.S., Vintaykin I.B., Golyak I.S., Golyak I.S., Kochikov I.V., Fufurin I.L.","Recovery and analysis of raman spectra obtained using a static fourier transform spectrometer","2017","Computer Optics","The Bauman Moscow State Technical University, Moscow, Russian Federation; Lomonosov Moscow State University, Moscow, Russian Federation","Vasil’ev, N.S., The Bauman Moscow State Technical University, Moscow, Russian Federation; Vintaykin, I.B., The Bauman Moscow State Technical University, Moscow, Russian Federation; Golyak, I.S., The Bauman Moscow State Technical University, Moscow, Russian Federation; Golyak, I.S., The Bauman Moscow State Technical University, Moscow, Russian Federation; Kochikov, I.V., The Bauman Moscow State Technical University, Moscow, Russian Federation; Fufurin, I.L., Lomonosov Moscow State University, Moscow, Russian Federation","DOI, U.S. Department of the Interior","Citation: Vasil’ev NS, Vintaykin IB, Golyak IgS, Golyak IlS, Kochikov IV, Fufurin IL. Recovery and analysis of Raman spectra obtained using a static Fourier transform spectrometer. Computer Optics 2017; 41(5): 626-635. DOI: 10.18287/2412-6179-2017-41-5-626-635 Acknowledgements: The work was partially funded by the Russian Federation Ministry of Ed-","","1342452","Article","2-s2.0-85037542888","Q2","0.457","2208; 1706; 3107;"
"2004","Yagodnikov D.A., Rudinskii A.V.","Diagnostics of rocket and jet engines through characteristics of the intrinsic electromagnetic field of combustion products","2017","High Temperature","Bauman Moscow State Technical University, Moscow, Russian Federation; Baranov Central Institute of Aviation Motors, Moscow, Russian Federation","Yagodnikov, D.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Rudinskii, A.V., Bauman Moscow State Technical University, Moscow, Russian Federation, Baranov Central Institute of Aviation Motors, Moscow, Russian Federation","","","","0018151X","Review","2-s2.0-85031725779","Q2","0.455","2200; 3104;"
"2005","Bochkarev S.V., Tsaplin A.I., Galinovskii A.L., Abashin M.I., Barzov A.A.","Ultra-Jet Diagnosis of Heat Treated Material Microstructure","2017","Metal Science and Heat Treatment","Perm’ National Research Polytechnic University, Perm, Russian Federation; N. É. Bauman Moscow State Technical University (MGTU), Moscow, Russian Federation","Bochkarev, S.V., Perm’ National Research Polytechnic University, Perm, Russian Federation; Tsaplin, A.I., Perm’ National Research Polytechnic University, Perm, Russian Federation; Galinovskii, A.L., N. É. Bauman Moscow State Technical University (MGTU), Moscow, Russian Federation; Abashin, M.I., N. É. Bauman Moscow State Technical University (MGTU), Moscow, Russian Federation; Barzov, A.A., N. É. Bauman Moscow State Technical University (MGTU), Moscow, Russian Federation","13-08-96004-r, RFFI, Russian Foundation for Fundamental Investigations","Work was carried out with financial support of the RFFI (project No. 13-08-96004-r ural a).","","260673","Article","2-s2.0-85030110982","Q3","0.279","2506; 2211; 3104;"
"2006","Latyshev A.V., Gordeeva N.M.","The behavior of plasma with an arbitrary degree of degeneracy of electron gas in the conductive layer","2017","Theoretical and Mathematical Physics(Russian Federation)","Moscow Region State University, Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation","Latyshev, A.V., Moscow Region State University, Moscow, Russian Federation; Gordeeva, N.M., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","405779","Article","2-s2.0-85030160386","Q3","0.409","2610; 3109;"
"2007","Akat’ev V.A., Metelkin E.V., Savinov A.M.","Space-Time Characteristics of Relativistic Electrons Moderated in Matter","2017","Atomic Energy","Bauman Moscow State Technical University, Moscow, Russian Federation; Russian State Social University, Moscow, Russian Federation","Akat’ev, V.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Metelkin, E.V., Russian State Social University, Moscow, Russian Federation; Savinov, A.M., Russian State Social University, Moscow, Russian Federation","","","","10634258","Article","2-s2.0-85029050637","Q3","0.215","2104;"
